theta,dL,kappa
1.2344279655707961,1.9885318789600421,-0.006463912884806713
1.221574268736531,1.9868160651844635,-0.007599419896058877
1.2064756192009511,1.9855914507289762,-0.008732046377641082
1.1891373425661294,1.9850590269359576,-0.009855442717237152
1.1695737070358176,1.9854489341328927,-0.010961729753857738
1.147809752379757,1.9870195554790944,-0.01204103170155067
1.12388398692062,1.990056105670587,-0.012937781478069264
1.0981370758963436,1.9945768790603977,-0.012808639192865477
1.0725892603100144,1.9987275248380203,-0.012286603762015087
1.0480316871840842,2.001537165063906,-0.011808477208559199
1.024396581188331,2.0028664398047566,-0.01137483993588283
1.0016142960225891,2.002591488831473,-0.01098460745102097
0.9796166146330088,2.0005997545019865,-0.010619337539987773
0.9583715705575249,1.996878211626392,-0.009956882172899348
0.938488889490721,1.9929783476262901,-0.008989744175636286
0.9205725239979693,1.990178440771638,-0.007988648041995032
0.9046736888938702,1.988313366746074,-0.00697044795453508
0.8908142540536533,1.9871892105901414,-0.005940761982615077
0.8790088359391106,1.9866361418046365,-0.004903951704295754
0.8692664682456873,1.986509054050506,-0.0038632590588878507
0.8615920691470601,1.98668797271164,-0.00282097359924344
0.8559876748261033,1.9870782911101847,-0.001778617924193006
0.8524534217607581,1.9876108888267123,-0.0007371434608309121
0.8509882673913824,1.9882421721416277,0.00030286982177705937
0.8515904459437089,1.9889540692902814,0.0013410125161572165
0.8542576582446904,1.9897539991601727,0.0023733355950883114
0.8589800122363689,1.9906741252769486,0.00299483252551719
0.8649417478544568,1.9916810169913952,0.002831824293391536
0.8705818385430626,1.992624654923401,0.0025810717458665433
0.875724945740005,1.993470721468397,0.002331463408158635
0.8803726497823465,1.9942040243945314,0.002082927254404591
0.8845264316956033,1.9948108587420068,0.0018353663351037303
0.8881876403906396,1.9952789963715822,0.001588661439351155
0.891357463192924,1.9955976749654039,0.0013426741280054858
0.8940369005610093,1.9957575892003692,0.0010972491661925905
0.896226743911683,1.9957508820001377,0.0008522171785979977
0.8979275570975265,1.9955711377524348,0.0006073970789276274
0.8991396611773902,1.9952133769925418,0.0003625983542323274
0.8998631222642304,1.9946740524169717,0.00011762347522820112
0.9000977427582233,1.9939510472323334,-0.00012771077202586667
0.8998430937305993,1.9930437708513586,-0.0003557205884087525
0.8991341270277073,1.992042398994552,-0.000533119715331372
0.8980721299510268,1.9912039262794525,-0.000701626415001501
0.8966750486786937,1.9905757600502088,-0.0008701197902850962
0.8949430093158114,1.9901606923850466,-0.0010384342620785743
0.8928763582657957,1.9899621819238682,-0.0012063999125794616
0.8904756680634851,1.9899843512474724,-0.0013738421565539795
0.8877417436708572,1.9902319824221568,-0.0015405812718551869
0.8846756295520889,1.9907105115850197,-0.0017064319681167515
0.8812786174958525,1.9914260225835236,-0.0018712032211294265
0.8775522547077513,1.9923852386016792,-0.0020346978508023437
0.8734983527447961,1.9935955133396523,-0.0021967125249947304
0.8691189965108674,1.9950648199712155,-0.0038753111333097484
0.8613874996023545,1.9955825288738491,-0.013177086768923159
0.8350915354648235,1.989829816759448,-0.025138896808557576
0.7850694090346916,1.9795650001710647,-0.03752263464161954
0.7107909147838977,1.9718830798253577,-0.04978630809938215
0.612618136235704,1.976748982506473,-0.059335809432540965
0.49532613531367137,1.9829508772978839,-0.06813913068019596
0.3602095863529935,1.9710571084110755,-0.08014643585130583
0.2022363842543847,1.954732185570849,-0.09309125538163927
0.020267911164605804,1.9519650067893717,-0.10078455935810944
-0.1764600219272109,1.9609131885715763,-0.0987300441388199
-0.37006106758737545,1.9765388234349022,-0.08373520485346606
-0.5355669508686095,1.9670237269617614,-0.06950664362968254
-0.6722881680697401,1.9592191323086054,-0.05118931354578556
-0.7725792505384385,1.9743236018329033,-0.032033586982976654
-0.8358239173703286,1.9922419846373245,-0.01401771284916082
-0.8637505934370309,1.9995681222672748,-0.0030654739146158093
-0.8698802173563416,1.9973270183288387,-0.0016087927989638102
-0.8730935026806065,1.9949686470105947,-0.0009148568189679652
-0.8749186133509523,1.9933080841425035,-0.00021650890920767548
-0.8753501823099651,1.9923301318200608,0.0004840908722945032
-0.8743857134785532,1.9920311936106594,0.0011918998518707965
-0.8720114117939655,1.9923857361297768,0.0020124124772971275
-0.8680019098789871,1.9928760077909735,0.0029244860195339045
-0.8621737718555349,1.993109653306615,0.003840035529894064
-0.8545201599718588,1.9931378806627478,0.004756973117039414
-0.8450388566549885,1.9930442912998714,0.005675265832196187
-0.833727800486515,1.9929325431362328,0.006282441028909294
-0.8212073193096611,1.992896952219602,0.004322278074208003
-0.812593464508922,1.9926748546467095,0.0011005867673873318
-0.8104003529321913,1.9918869072483214,-0.0021341123906555267
-0.8146512634617366,1.9904478992898889,-0.005381896343175809
