x,y
-1524.2726061099675,105918.11484722793
-1524.292006420903,105918.0929862978
-1524.320926296874,105918.07128044264
-1524.3500267599593,105918.03848904744
-1524.378946638666,105918.01678319369
-1524.4078665149864,105917.9950773404
-1524.427266824001,105917.9732164084
-1524.456186700496,105917.95151055651
-1524.4851065772818,105917.92980470276
-1524.5140264540678,105917.90809884854
-1524.5334267658764,105917.88623791933
-1524.5623466429533,105917.86453206418
-1524.5912665200885,105917.8428262109
-1524.6201863973401,105917.82112035947
-1524.6395867095562,105917.79925942793
-1524.6685065870406,105917.77755357558
-1524.6974264646415,105917.75584772276
-1524.7265269322088,105917.72305632709
-1524.7554468100425,105917.70135047426
-1524.7748471203959,105917.67948954506
-1524.8037669984624,105917.6577836913
-1524.8326868766453,105917.63607783848
-1524.8616067575058,105917.61437198706
-1524.8905266359216,105917.59266613424
-1524.9194465145702,105917.57096028095
-1524.948546980857,105917.53816888714
-1524.9774668621249,105917.51646303572
-1525.006386741181,105917.49475718243
-1525.0257870522328,105917.47289625136
-1525.0547069315217,105917.45119040087
-1525.0836268132553,105917.42948454851
-1525.1127272804151,105917.39669315424
-1525.1416471600533,105917.37498730281
-1525.1705670397496,105917.35328145092
-1525.199486922007,105917.33157559903
-1525.2284068019944,105917.30986974761
-1525.2478071139776,105917.28800881887
-1525.2767269941396,105917.26630296651
-1525.305827464792,105917.2335115727
-1525.334747345245,105917.21180572174
-1525.3636672258144,105917.19009987079
-1525.3925871065585,105917.1683940203
-1525.4215069897473,105917.14668816887
-1525.450607458828,105917.11389677553
-1525.4795273399213,105917.0921909241
-1525.5084472234594,105917.07048507407
-1525.5373671048437,105917.04877922265
-1525.5662869862863,105917.02707337216
-1525.5952068679035,105917.00536752166
-1525.6243073402438,105916.97257612925
-1525.6437076511793,105916.95071520004
-1525.6726275355322,105916.92900935002
-1525.7015474176733,105916.90730349999
-1525.7304672998143,105916.88559764996
-1525.7593871820718,105916.8638918004
-1525.78848765546,105916.83110040752
-1525.8174075379502,105916.80939455703
-1525.8463274206733,105916.78768870654
-1525.8752473035129,105916.76598285744
-1525.9041671887971,105916.74427700741
-1525.9330870718695,105916.72257115599
-1525.9526679750415,105916.68962468626
-1525.9815878582885,105916.66791883763
-1526.010507744155,105916.6462129876
-1526.0489471964538,105916.62466221722
-1526.0778670801665,105916.60295636719
-1526.1069675527397,105916.57016497618
-1526.1358874391299,105916.54845912615
-1526.1648073231336,105916.52675327752
-1526.19372720737,105916.50504742796
-1526.2131275228458,105916.48318649968
-1526.2420474096434,105916.46148065059
-1526.271147883148,105916.42868926004
-1526.3000677678501,105916.4069834114
-1526.3289876526687,105916.38527756277
-1526.3579075399903,105916.36357171461
-1526.3868274251,105916.34186586458
-1526.4157473102678,105916.32016001688
-1526.4448477845872,105916.28736862633
-1526.4737676724908,105916.2656627777
-1526.502687558066,105916.2439569286
-1526.5220878746477,105916.22209600266
-1526.5510077628423,105916.20039015403
-1526.589627807145,105916.16775384266
-1526.6185476932442,105916.1460479945
-1526.6474675794598,105916.12434214773
-1526.6765680550598,105916.09155075718
-1526.705487944011,105916.06984490855
-1526.734407830576,105916.04813906085
-1526.7633277173154,105916.02643321408
-1526.792247604113,105916.00472736591
-1526.811647924129,105915.98286643997
-1526.8407484007184,105915.95007504988
-1526.8696682879236,105915.92836920265
-1526.8985881776316,105915.90666335495
-1526.9275080651278,105915.88495750772
-1526.9564279526821,105915.86325166048
-1526.9853478404111,105915.84154581325
-1527.0144483202603,105915.80875442503
-1527.043368208222,105915.7870485778
-1527.0722880963003,105915.7653427315
-1527.101207984495,105915.74363688519
-1527.1301278752508,105915.72193103703
-1527.1592283535283,105915.68913964834
-1527.1881482421304,105915.66743380204
-1527.217068130849,105915.64572795574
