s,x,y
500.0,-1654.7542683962777,106009.45068132832
502.0,-1653.0626684405522,106008.44685269144
504.0,-1651.5297779484467,106007.22669436253
506.0,-1650.1159395923241,106005.84864690779
508.0,-1648.7800084832995,106004.3707036757
510.0,-1647.481107973808,106002.85046351637
512.0,-1646.192995636149,106001.32400296211
514.0,-1644.9113100502577,105999.79521849022
516.0,-1643.6334813176445,105998.26537181542
518.0,-1642.3569395398201,105996.7357246523
520.0,-1641.079114818296,105995.20753871552
522.0,-1639.7974372545814,105993.6821195783
524.0,-1638.5093369501876,105992.16147748094
526.0,-1637.2122440066257,105990.64819099588
528.0,-1635.9035885254057,105989.14485489148
530.0,-1634.5808006080392,105987.65406393606
532.0,-1633.2413103560366,105986.17841289795
534.0,-1631.883473964662,105984.71967419742
536.0,-1630.5132754579363,105983.27284693457
538.0,-1629.1404502552527,105981.82959906461
540.0,-1627.7747598904957,105980.38157535369
542.0,-1626.4259658975493,105978.9204205681
544.0,-1625.1038267439933,105977.43778198442
546.0,-1623.814086880058,105975.92859333006
548.0,-1622.550581037169,105974.39753933718
550.0,-1621.3049453710162,105972.85110480747
552.0,-1620.0688160372913,105971.29577454274
554.0,-1618.8338291916848,105969.7380333447
556.0,-1617.5927855075827,105968.18343692752
558.0,-1616.3447734158244,105966.63252444177
560.0,-1615.090993965258,105965.08414952726
562.0,-1613.8326497722417,105963.53716457308
564.0,-1612.570943453134,105961.99042196844
566.0,-1611.307076927298,105960.44277490822
568.0,-1610.0398606013625,105958.89584090229
570.0,-1608.7603652837063,105957.3601835507
572.0,-1607.458098952491,105955.84817290644
574.0,-1606.1225695858784,105954.37217902257
576.0,-1604.743285162031,105952.94457195202
578.0,-1603.30924704968,105951.57941657245
580.0,-1601.8057396445229,105950.30321262198
582.0,-1600.216391963264,105949.14799778767
584.0,-1598.5248254382732,105948.1458351294
586.0,-1596.7173063220093,105947.32878770708
588.0,-1594.8134213494666,105946.72891858053
590.0,-1592.855543501229,105946.37829080963
592.0,-1590.88648788628,105946.3089674543
594.0,-1588.9467993388103,105946.54742652335
596.0,-1587.0608768911536,105947.08042610857
598.0,-1585.2461234404684,105947.87504886171
600.0,-1583.5199137207562,105948.87443058075
602.0,-1581.8966602510002,105950.01036282499
604.0,-1580.3595933542865,105951.23618752422
606.0,-1578.8732701645692,105952.51824086685
608.0,-1577.4019956426762,105953.82303475255
610.0,-1575.9180349116534,105955.12396655751
612.0,-1574.423004490741,105956.41982237995
614.0,-1572.9252843858044,105957.7152386799
616.0,-1571.4332546027065,105959.01485191718
618.0,-1569.955295147312,105960.3232985518
620.0,-1568.4997860254853,105961.64521504362
622.0,-1567.075107243091,105962.98523785267
